Date,Open,Close,High,Low
21:00:59,2838,2820,2841,2810
21:01:59,2820,2821,2823,2816
21:02:59,2821,2826,2826,2820
21:03:57,2826,2834,2835,2826
21:05:01,2833,2830,2833,2828
21:06:01,2830,2827,2830,2824
21:07:02,2826,2824,2826,2821
21:08:04,2823,2824,2826,2822
21:09:06,2824,2826,2827,2823
21:10:08,2825,2832,2833,2825
21:11:10,2832,2832,2833,2830
21:12:11,2832,2837,2838,2832
21:13:11,2835,2840,2841,2835
21:14:13,2841,2841,2841,2840
21:15:15,2840,2841,2845,2840
21:16:17,2841,2840,2842,2839
21:17:24,2840,2840,2843,2839
21:18:31,2840,2840,2841,2839
21:19:44,2840,2837,2841,2837
21:20:59,2837,2836,2838,2835
21:22:18,2836,2836,2838,2835
21:23:27,2837,2838,2841,2837
21:24:35,2838,2837,2839,2836
21:25:46,2838,2838,2840,2837
21:27:10,2838,2842,2842,2838
21:28:15,2843,2846,2846,2842
21:29:16,2846,2845,2849,2845
21:30:19,2845,2846,2849,2845
21:31:32,2846,2847,2849,2845
21:32:42,2847,2847,2848,2845
21:33:46,2847,2849,2850,2846
21:34:59,2849,2848,2850,2847
21:36:16,2848,2855,2857,2848
21:37:16,2855,2852,2856,2852
21:38:19,2852,2850,2852,2850
21:39:29,2850,2849,2853,2849
21:40:41,2849,2847,2851,2847
21:41:52,2848,2847,2848,2846
21:43:10,2847,2847,2848,2846
21:44:29,2847,2846,2848,2845
21:45:55,2846,2850,2850,2845
21:47:13,2850,2850,2852,2849
21:48:37,2850,2849,2850,2848
21:49:57,2849,2850,2852,2848
21:51:19,2851,2850,2851,2849
21:52:54,2851,2852,2852,2849
21:54:02,2852,2851,2854,2851
21:55:23,2851,2855,2855,2851
21:56:32,2855,2856,2858,2854
21:57:44,2856,2854,2856,2853
21:59:09,2855,2853,2856,2853
22:00:34,2854,2853,2855,2853
22:01:41,2853,2859,2860,2853
22:02:51,2859,2861,2862,2858
22:03:54,2861,2865,2867,2860
22:04:58,2864,2867,2867,2862
22:05:58,2867,2870,2872,2864
22:07:01,2870,2868,2871,2867
22:08:04,2868,2878,2883,2867
22:09:04,2879,2877,2879,2873
22:10:05,2877,2871,2878,2867
22:11:09,2871,2869,2872,2868
22:12:18,2870,2870,2873,2869
22:13:27,2870,2870,2871,2869
22:14:34,2869,2870,2871,2866
22:15:55,2870,2868,2871,2868
22:17:04,2868,2871,2873,2868
22:18:17,2872,2872,2872,2869
22:19:30,2872,2872,2872,2870
22:20:41,2871,2876,2876,2871
22:21:46,2876,2879,2879,2874
22:22:48,2878,2876,2882,2876
22:23:52,2876,2877,2879,2875
22:24:55,2877,2880,2882,2877
22:25:57,2880,2885,2887,2880
22:26:58,2885,2885,2889,2884
22:27:59,2885,2886,2886,2881
22:29:02,2886,2885,2889,2884
22:30:01,2885,2887,2888,2880
22:31:05,2887,2883,2888,2882
22:32:16,2883,2881,2884,2881
22:33:23,2881,2886,2886,2880
22:34:25,2885,2886,2889,2885
22:35:34,2886,2890,2891,2886
22:36:36,2890,2888,2892,2887
22:37:39,2888,2892,2893,2888
22:38:42,2892,2893,2894,2891
22:39:45,2892,2887,2894,2887
22:40:52,2887,2894,2894,2887
22:41:58,2893,2894,2894,2892
22:43:02,2895,2896,2898,2894
22:44:05,2896,2897,2899,2895
22:45:05,2896,2900,2900,2896
22:46:10,2900,2901,2902,2899
22:47:11,2901,2897,2902,2897
22:48:13,2897,2896,2898,2893
22:49:21,2897,2898,2899,2896
22:50:29,2899,2898,2900,2898
22:51:37,2899,2898,2902,2896
22:52:40,2898,2900,2902,2897
22:53:43,2900,2901,2901,2898
22:54:45,2900,2893,2901,2883
22:55:49,2892,2895,2896,2891
22:56:52,2895,2890,2895,2887
22:57:53,2890,2883,2890,2882
22:58:53,2882,2877,2883,2875
22:59:53,2876,2878,2880,2870
9:00:53,2878,2889,2895,2870
9:01:54,2888,2883,2889,2880
9:02:55,2882,2885,2887,2882
9:03:56,2885,2901,2901,2885
9:04:56,2901,2905,2905,2898
9:05:56,2905,2906,2910,2904
9:06:56,2906,2913,2914,2905
9:07:56,2913,2918,2918,2913
9:08:56,2918,2914,2918,2913
9:09:57,2914,2916,2918,2914
9:10:59,2915,2914,2917,2913
9:11:59,2915,2923,2924,2915
9:12:58,2923,2924,2925,2920
9:14:01,2924,2924,2925,2923
9:15:03,2924,2920,2924,2920
9:16:06,2920,2920,2922,2918
9:17:09,2921,2917,2921,2917
9:18:13,2917,2919,2919,2915
9:19:22,2918,2918,2919,2917
9:20:45,2918,2920,2920,2918
9:21:54,2920,2920,2922,2919
9:23:01,2919,2917,2921,2916
9:24:01,2917,2913,2918,2912
9:25:03,2912,2905,2914,2905
9:26:02,2907,2910,2910,2903
9:27:04,2910,2916,2916,2910
9:28:12,2916,2914,2916,2913
9:29:17,2915,2917,2919,2914
9:30:23,2919,2923,2924,2916
9:31:26,2923,2921,2924,2920
9:32:36,2921,2921,2923,2919
9:33:44,2921,2920,2922,2919
9:34:47,2920,2916,2921,2915
9:35:49,2916,2913,2916,2913
9:36:54,2912,2913,2914,2911
9:37:55,2913,2908,2915,2906
9:39:00,2909,2913,2913,2907
9:40:01,2911,2912,2915,2911
9:41:13,2912,2916,2917,2911
9:42:22,2916,2919,2920,2915
9:43:28,2918,2915,2921,2915
9:44:43,2916,2919,2919,2915
9:45:51,2919,2919,2920,2917
9:47:18,2919,2917,2919,2916
9:48:29,2917,2920,2921,2917
9:49:58,2919,2918,2919,2917
9:51:34,2918,2917,2919,2917
9:53:10,2917,2918,2919,2916
9:54:38,2917,2921,2922,2917
9:55:56,2921,2922,2922,2920
9:56:59,2922,2925,2926,2922
9:58:07,2925,2927,2927,2925
9:59:12,2927,2925,2927,2924
10:00:20,2925,2928,2930,2925
10:01:37,2929,2927,2930,2927
10:02:51,2927,2923,2927,2922
10:04:13,2923,2921,2924,2921
10:05:22,2921,2921,2921,2916
10:06:42,2921,2920,2922,2919
10:08:02,2920,2921,2921,2918
10:09:04,2920,2924,2926,2920
10:10:14,2924,2922,2924,2920
10:12:05,2921,2920,2921,2919
10:13:18,2920,2923,2925,2920
10:14:38,2923,2924,2924,2921
10:30:41,2924,2928,2928,2922
10:31:42,2928,2932,2933,2927
10:32:36,2932,2929,2933,2927
10:33:52,2930,2928,2930,2928
10:35:18,2929,2928,2930,2927
10:36:33,2928,2926,2929,2926
10:37:41,2926,2925,2928,2925
10:38:59,2925,2926,2926,2923
10:40:17,2926,2925,2928,2925
10:41:57,2925,2925,2926,2924
10:43:13,2925,2921,2925,2920
10:44:22,2920,2921,2921,2916
10:45:26,2920,2921,2922,2916
10:47:11,2920,2921,2921,2919
10:48:22,2921,2919,2921,2916
10:50:13,2918,2921,2921,2918
10:51:49,2921,2922,2923,2919
10:53:12,2922,2919,2922,2918
10:54:42,2919,2920,2921,2918
10:56:22,2920,2922,2922,2918
10:57:54,2922,2924,2924,2920
10:59:15,2924,2919,2925,2919
11:00:34,2919,2920,2921,2916
11:01:53,2920,2921,2922,2918
11:03:00,2921,2919,2924,2919
11:04:16,2919,2921,2925,2919
11:05:30,2921,2923,2925,2921
11:07:00,2923,2927,2929,2923
11:08:19,2928,2923,2928,2922
11:09:44,2922,2923,2923,2918
11:11:14,2921,2923,2923,2920
11:13:01,2923,2923,2923,2920
11:14:47,2923,2923,2925,2922
11:16:32,2923,2924,2924,2921
11:18:45,2923,2923,2924,2920
11:20:01,2922,2924,2924,2919
11:21:07,2924,2920,2926,2917
11:22:21,2920,2924,2925,2920
11:23:41,2924,2925,2927,2924
11:25:55,2925,2924,2925,2924
11:27:13,2925,2926,2929,2924
11:28:27,2927,2927,2929,2925
11:29:40,2928,2926,2929,2925
13:30:46,2925,2926,2929,2924
13:32:07,2925,2927,2928,2925
13:33:29,2927,2927,2931,2927
13:34:37,2927,2933,2933,2927
13:35:42,2933,2931,2934,2929
13:36:51,2931,2927,2932,2927
13:38:22,2927,2931,2931,2927
13:39:32,2931,2931,2933,2928
13:40:44,2931,2932,2933,2929
13:41:56,2932,2936,2939,2930
13:42:58,2938,2930,2938,2926
13:44:07,2930,2928,2930,2925
13:45:22,2928,2928,2928,2926
13:46:39,2928,2928,2931,2926
13:47:59,2928,2931,2931,2927
13:49:11,2931,2935,2937,2930
13:50:18,2935,2932,2938,2932
13:51:29,2932,2933,2935,2932
13:52:46,2934,2932,2935,2932
13:54:10,2932,2932,2933,2930
13:55:15,2932,2933,2936,2931
13:56:21,2933,2936,2940,2932
13:57:22,2937,2939,2941,2937
13:58:28,2939,2940,2941,2936
13:59:31,2940,2940,2943,2939
14:00:32,2940,2939,2946,2937
14:01:36,2938,2936,2940,2935
14:02:48,2937,2940,2940,2936
14:03:58,2941,2940,2941,2938
14:05:05,2940,2938,2941,2937
14:06:16,2938,2940,2941,2938
14:07:18,2940,2933,2941,2930
14:08:21,2933,2933,2934,2928
14:09:26,2933,2934,2936,2932
14:10:32,2934,2932,2935,2931
14:11:37,2932,2925,2932,2925
14:12:37,2925,2930,2933,2925
14:13:43,2929,2933,2934,2929
14:15:02,2933,2931,2934,2930
14:16:22,2931,2933,2935,2931
14:17:37,2934,2938,2938,2932
14:18:48,2938,2938,2939,2936
14:20:11,2938,2935,2938,2934
14:21:35,2936,2938,2938,2933
14:22:55,2939,2938,2939,2936
14:24:22,2938,2938,2939,2937
14:25:46,2938,2934,2939,2934
14:27:13,2934,2939,2940,2934
14:28:31,2939,2940,2942,2939
14:29:59,2940,2940,2941,2938
14:31:22,2940,2939,2942,2939
14:33:10,2939,2940,2940,2938
14:34:52,2940,2937,2940,2936
14:36:14,2937,2940,2942,2937
14:37:48,2939,2939,2941,2938
14:39:46,2939,2939,2940,2939
14:41:07,2940,2943,2944,2940
14:42:13,2943,2945,2945,2941
14:43:18,2945,2945,2949,2945
14:44:22,2944,2941,2946,2941
14:45:39,2941,2942,2945,2940
14:47:00,2942,2946,2946,2942
14:48:27,2946,2944,2946,2944
14:49:27,2944,2942,2945,2940
14:50:50,2943,2941,2944,2940
14:52:02,2942,2945,2946,2941
14:53:11,2945,2947,2948,2944
14:54:22,2947,2947,2949,2946
14:55:25,2947,2943,2948,2942
14:56:34,2943,2944,2949,2943
14:57:40,2945,2946,2948,2943
14:58:38,2947,2948,2948,2944
14:59:42,2947,2945,2950,2945
